/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    time_elapsed         | 13671       |
|    total_timesteps      | 618496      |
| train/                  |             |
|    approx_kl            | 0.030720629 |
|    clip_fraction        | 0.325       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.68       |
|    explained_variance   | 0.741       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0234     |
|    n_updates            | 1500        |
|    policy_gradient_loss | -0.0214     |
|    std                  | 0.496       |
|    value_loss           | 0.153       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0377      |
|    E_fric_J             | 0.00718     |
|    E_norm_J             | 0.0198      |
|    W_neg_J              | 0.0526      |
|    W_pos_J              | 0.0782      |
| reward/                 |             |
|    r_energy             | -0.0972     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 4.07        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 152         |
|    time_elapsed         | 13763       |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.029449023 |
|    clip_fraction        | 0.333       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.65       |
|    explained_variance   | 0.685       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00967     |
|    n_updates            | 1510        |
|    policy_gradient_loss | -0.0176     |
|    std                  | 0.495       |
|    value_loss           | 0.168       |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00688    |
|    E_fric_J             | 0.00558    |
|    E_norm_J             | 0.00161    |
|    W_neg_J              | 0.00929    |
|    W_pos_J              | 0.0207     |
| reward/                 |            |
|    r_energy             | -0.0196    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 4.46       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 153        |
|    time_elapsed         | 13854      |
|    total_timesteps      | 626688     |
| train/                  |            |
|    approx_kl            | 0.02692866 |
|    clip_fraction        | 0.299      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.59      |
|    explained_variance   | 0.732      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0156    |
|    n_updates            | 1520       |
|    policy_gradient_loss | -0.019     |
|    std                  | 0.491      |
|    value_loss           | 0.148      |
----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.0336     |
|    E_fric_J             | 0.00675    |
|    E_norm_J             | 0.0195     |
|    W_neg_J              | 0.0431     |
|    W_pos_J              | 0.0707     |
| reward/                 |            |
|    r_energy             | -0.0868    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 5.15       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 154        |
|    time_elapsed         | 13945      |
|    total_timesteps      | 630784     |
| train/                  |            |
|    approx_kl            | 0.02849115 |
|    clip_fraction        | 0.322      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.49      |
|    explained_variance   | 0.733      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0353    |
|    n_updates            | 1530       |
|    policy_gradient_loss | -0.0189    |
|    std                  | 0.487      |
|    value_loss           | 0.141      |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00817     |
|    E_fric_J             | 0.00561     |
|    E_norm_J             | 0.00168     |
|    W_neg_J              | 0.0103      |
|    W_pos_J              | 0.0248      |
| reward/                 |             |
|    r_energy             | -0.0222     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 5.26        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 155         |
|    time_elapsed         | 14036       |
|    total_timesteps      | 634880      |
| train/                  |             |
|    approx_kl            | 0.024928773 |
|    clip_fraction        | 0.319       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.41       |
|    explained_variance   | 0.751       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0279     |
|    n_updates            | 1540        |
|    policy_gradient_loss | -0.0178     |
|    std                  | 0.483       |
|    value_loss           | 0.142       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0367      |
|    E_fric_J             | 0.00805     |
|    E_norm_J             | 0.0196      |
|    W_neg_J              | 0.0496      |
|    W_pos_J              | 0.0731      |
| reward/                 |             |
|    r_energy             | -0.0937     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 5.29        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 156         |
|    time_elapsed         | 14127       |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.023796203 |
|    clip_fraction        | 0.3         |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.36       |
|    explained_variance   | 0.688       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.031      |
|    n_updates            | 1550        |
|    policy_gradient_loss | -0.0149     |
|    std                  | 0.482       |
|    value_loss           | 0.182       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00674     |
|    E_fric_J             | 0.00586     |
|    E_norm_J             | 0.00178     |
|    W_neg_J              | 0.0098      |
|    W_pos_J              | 0.0229      |
| reward/                 |             |
|    r_energy             | -0.0208     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 5.7         |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 157         |
|    time_elapsed         | 14218       |
|    total_timesteps      | 643072      |
| train/                  |             |
|    approx_kl            | 0.029656667 |
|    clip_fraction        | 0.313       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.29       |
|    explained_variance   | 0.693       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00352     |
|    n_updates            | 1560        |
|    policy_gradient_loss | -0.019      |
|    std                  | 0.477       |
|    value_loss           | 0.186       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0347      |
|    E_fric_J             | 0.00733     |
|    E_norm_J             | 0.0199      |
|    W_neg_J              | 0.0481      |
|    W_pos_J              | 0.069       |
| reward/                 |             |
|    r_energy             | -0.0904     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 6.13        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 158         |
|    time_elapsed         | 14310       |
|    total_timesteps      | 647168      |
| train/                  |             |
|    approx_kl            | 0.026569916 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.21       |
|    explained_variance   | 0.69        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0212      |
|    n_updates            | 1570        |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.474       |
|    value_loss           | 0.166       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00726     |
|    E_fric_J             | 0.00607     |
|    E_norm_J             | 0.00176     |
|    W_neg_J              | 0.0105      |
|    W_pos_J              | 0.023       |
| reward/                 |             |
|    r_energy             | -0.0216     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 6.5         |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 159         |
|    time_elapsed         | 14401       |
|    total_timesteps      | 651264      |
| train/                  |             |
|    approx_kl            | 0.032591164 |
|    clip_fraction        | 0.333       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.12       |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0109      |
|    n_updates            | 1580        |
|    policy_gradient_loss | -0.018      |
|    std                  | 0.47        |
|    value_loss           | 0.173       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0322      |
|    E_fric_J             | 0.00694     |
|    E_norm_J             | 0.0187      |
|    W_neg_J              | 0.0412      |
|    W_pos_J              | 0.0699      |
| reward/                 |             |
|    r_energy             | -0.0839     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 6.92        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 160         |
|    time_elapsed         | 14491       |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.028101724 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.06       |
|    explained_variance   | 0.708       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0263      |
|    n_updates            | 1590        |
|    policy_gradient_loss | -0.0123     |
|    std                  | 0.469       |
|    value_loss           | 0.155       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00842     |
|    E_fric_J             | 0.00592     |
|    E_norm_J             | 0.00152     |
|    W_neg_J              | 0.0131      |
|    W_pos_J              | 0.0255      |
| reward/                 |             |
|    r_energy             | -0.0242     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 7.07        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 161         |
|    time_elapsed         | 14582       |
|    total_timesteps      | 659456      |
| train/                  |             |
|    approx_kl            | 0.027591396 |
|    clip_fraction        | 0.306       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.03       |
|    explained_variance   | 0.731       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0296      |
|    n_updates            | 1600        |
|    policy_gradient_loss | -0.0154     |
|    std                  | 0.467       |
|    value_loss           | 0.164       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0283      |
|    E_fric_J             | 0.00645     |
|    E_norm_J             | 0.0187      |
|    W_neg_J              | 0.0392      |
|    W_pos_J              | 0.0612      |
| reward/                 |             |
|    r_energy             | -0.078      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 7.3         |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 162         |
|    time_elapsed         | 14673       |
|    total_timesteps      | 663552      |
| train/                  |             |
|    approx_kl            | 0.029274749 |
|    clip_fraction        | 0.325       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.96       |
|    explained_variance   | 0.714       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0171     |
|    n_updates            | 1610        |
|    policy_gradient_loss | -0.0178     |
|    std                  | 0.463       |
|    value_loss           | 0.167       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00827     |
|    E_fric_J             | 0.0065      |
|    E_norm_J             | 0.0019      |
|    W_neg_J              | 0.0119      |
|    W_pos_J              | 0.0269      |
| reward/                 |             |
|    r_energy             | -0.0245     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 7.64        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 163         |
|    time_elapsed         | 14765       |
|    total_timesteps      | 667648      |
| train/                  |             |
|    approx_kl            | 0.025734674 |
|    clip_fraction        | 0.308       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.88       |
|    explained_variance   | 0.743       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0302      |
|    n_updates            | 1620        |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.459       |
|    value_loss           | 0.152       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00778     |
|    E_fric_J             | 0.0065      |
|    E_norm_J             | 0.00176     |
|    W_neg_J              | 0.0115      |
|    W_pos_J              | 0.0227      |
| reward/                 |             |
|    r_energy             | -0.0226     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 7.79        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 164         |
|    time_elapsed         | 14858       |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.025351744 |
|    clip_fraction        | 0.308       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.81       |
|    explained_variance   | 0.706       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00628     |
|    n_updates            | 1630        |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.457       |
|    value_loss           | 0.179       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00745     |
|    E_fric_J             | 0.00614     |
|    E_norm_J             | 0.00172     |
|    W_neg_J              | 0.0103      |
|    W_pos_J              | 0.0243      |
| reward/                 |             |
|    r_energy             | -0.022      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 8.12        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 165         |
|    time_elapsed         | 14950       |
|    total_timesteps      | 675840      |
| train/                  |             |
|    approx_kl            | 0.026027316 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.73       |
|    explained_variance   | 0.706       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0159      |
|    n_updates            | 1640        |
|    policy_gradient_loss | -0.0149     |
|    std                  | 0.453       |
|    value_loss           | 0.158       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00826     |
|    E_fric_J             | 0.00623     |
|    E_norm_J             | 0.00171     |
|    W_neg_J              | 0.0112      |
|    W_pos_J              | 0.0274      |
| reward/                 |             |
|    r_energy             | -0.0239     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 8.24        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 166         |
|    time_elapsed         | 15040       |
|    total_timesteps      | 679936      |
| train/                  |             |
|    approx_kl            | 0.027476393 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.68       |
|    explained_variance   | 0.757       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.019       |
|    n_updates            | 1650        |
|    policy_gradient_loss | -0.0134     |
|    std                  | 0.45        |
|    value_loss           | 0.144       |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00771    |
|    E_fric_J             | 0.00641    |
|    E_norm_J             | 0.00177    |
|    W_neg_J              | 0.0115     |
|    W_pos_J              | 0.025      |
| reward/                 |            |
|    r_energy             | -0.0232    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 8.42       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 167        |
|    time_elapsed         | 15131      |
|    total_timesteps      | 684032     |
| train/                  |            |
|    approx_kl            | 0.02761905 |
|    clip_fraction        | 0.325      |
|    clip_range           | 0.2        |
|    entropy_loss         | -5.65      |
|    explained_variance   | 0.733      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00791    |
|    n_updates            | 1660       |
|    policy_gradient_loss | -0.0118    |
|    std                  | 0.449      |
|    value_loss           | 0.151      |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00791     |
|    E_fric_J             | 0.00634     |
|    E_norm_J             | 0.00173     |
|    W_neg_J              | 0.0106      |
|    W_pos_J              | 0.0244      |
| reward/                 |             |
|    r_energy             | -0.0225     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 8.73        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 168         |
|    time_elapsed         | 15222       |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.028401341 |
|    clip_fraction        | 0.312       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.59       |
|    explained_variance   | 0.767       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0105     |
|    n_updates            | 1670        |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.447       |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0088      |
|    E_fric_J             | 0.00616     |
|    E_norm_J             | 0.00172     |
|    W_neg_J              | 0.0121      |
|    W_pos_J              | 0.0236      |
| reward/                 |             |
|    r_energy             | -0.0235     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 8.85        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 169         |
|    time_elapsed         | 15313       |
|    total_timesteps      | 692224      |
| train/                  |             |
|    approx_kl            | 0.029452346 |
|    clip_fraction        | 0.316       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.53       |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00407    |
|    n_updates            | 1680        |
|    policy_gradient_loss | -0.0143     |
|    std                  | 0.445       |
|    value_loss           | 0.154       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00794     |
|    E_fric_J             | 0.00637     |
|    E_norm_J             | 0.00174     |
|    W_neg_J              | 0.0123      |
|    W_pos_J              | 0.0243      |
| reward/                 |             |
|    r_energy             | -0.0235     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 9.18        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 170         |
|    time_elapsed         | 15404       |
|    total_timesteps      | 696320      |
| train/                  |             |
|    approx_kl            | 0.027472395 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.48       |
|    explained_variance   | 0.732       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0153      |
|    n_updates            | 1690        |
|    policy_gradient_loss | -0.0104     |
|    std                  | 0.443       |
|    value_loss           | 0.159       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00718     |
|    E_fric_J             | 0.00649     |
|    E_norm_J             | 0.00174     |
|    W_neg_J              | 0.0105      |
|    W_pos_J              | 0.0255      |
| reward/                 |             |
|    r_energy             | -0.0225     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 9.47        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 171         |
|    time_elapsed         | 15495       |
|    total_timesteps      | 700416      |
| train/                  |             |
|    approx_kl            | 0.032999612 |
|    clip_fraction        | 0.323       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.44       |
|    explained_variance   | 0.759       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0134      |
|    n_updates            | 1700        |
|    policy_gradient_loss | -0.0111     |
|    std                  | 0.441       |
|    value_loss           | 0.131       |
-----------------------------------------
---------------------------------------
| energy/                 |           |
|    E_damp_J             | 0.00715   |
|    E_fric_J             | 0.00595   |
|    E_norm_J             | 0.00163   |
|    W_neg_J              | 0.0115    |
|    W_pos_J              | 0.0233    |
| reward/                 |           |
|    r_energy             | -0.0221   |
| rollout/                |           |
|    ep_len_mean          | 82        |
|    ep_rew_mean          | 9.73      |
| time/                   |           |
|    fps                  | 45        |
|    iterations           | 172       |
|    time_elapsed         | 15586     |
|    total_timesteps      | 704512    |
| train/                  |           |
|    approx_kl            | 0.0320863 |
|    clip_fraction        | 0.347     |
|    clip_range           | 0.2       |
|    entropy_loss         | -5.36     |
|    explained_variance   | 0.8       |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0253   |
|    n_updates            | 1710      |
|    policy_gradient_loss | -0.0134   |
|    std                  | 0.437     |
|    value_loss           | 0.118     |
---------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00871     |
|    E_fric_J             | 0.00626     |
|    E_norm_J             | 0.00169     |
|    W_neg_J              | 0.0123      |
|    W_pos_J              | 0.0275      |
| reward/                 |             |
|    r_energy             | -0.0248     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 10          |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 173         |
|    time_elapsed         | 15678       |
|    total_timesteps      | 708608      |
| train/                  |             |
|    approx_kl            | 0.027767261 |
|    clip_fraction        | 0.337       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.31       |
|    explained_variance   | 0.78        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0181     |
|    n_updates            | 1720        |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.435       |
|    value_loss           | 0.118       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00784     |
|    E_fric_J             | 0.00614     |
|    E_norm_J             | 0.00158     |
|    W_neg_J              | 0.0116      |
|    W_pos_J              | 0.0252      |
| reward/                 |             |
|    r_energy             | -0.0231     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 9.92        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 174         |
|    time_elapsed         | 15769       |
|    total_timesteps      | 712704      |
| train/                  |             |
|    approx_kl            | 0.034248274 |
|    clip_fraction        | 0.328       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.24       |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0532     |
|    n_updates            | 1730        |
|    policy_gradient_loss | -0.015      |
|    std                  | 0.433       |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00818     |
|    E_fric_J             | 0.00658     |
|    E_norm_J             | 0.0018      |
|    W_neg_J              | 0.0116      |
|    W_pos_J              | 0.0282      |
| reward/                 |             |
|    r_energy             | -0.0246     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 9.95        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 175         |
|    time_elapsed         | 15859       |
|    total_timesteps      | 716800      |
| train/                  |             |
|    approx_kl            | 0.031728603 |
|    clip_fraction        | 0.334       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.17       |
|    explained_variance   | 0.745       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00317     |
|    n_updates            | 1740        |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.43        |
|    value_loss           | 0.152       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.009       |
|    E_fric_J             | 0.00656     |
|    E_norm_J             | 0.00188     |
|    W_neg_J              | 0.0133      |
|    W_pos_J              | 0.0254      |
| reward/                 |             |
|    r_energy             | -0.0253     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 10.1        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 176         |
|    time_elapsed         | 15949       |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.028932918 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.09       |
|    explained_variance   | 0.775       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0344     |
|    n_updates            | 1750        |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.427       |
|    value_loss           | 0.134       |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00837    |
|    E_fric_J             | 0.00667    |
|    E_norm_J             | 0.00231    |
|    W_neg_J              | 0.015      |
|    W_pos_J              | 0.0242     |
| reward/                 |            |
|    r_energy             | -0.0261    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 10.5       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 177        |
|    time_elapsed         | 16040      |
|    total_timesteps      | 724992     |
| train/                  |            |
|    approx_kl            | 0.03171817 |
|    clip_fraction        | 0.336      |
|    clip_range           | 0.2        |
|    entropy_loss         | -5.03      |
|    explained_variance   | 0.816      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00774    |
|    n_updates            | 1760       |
|    policy_gradient_loss | -0.0138    |
|    std                  | 0.425      |
|    value_loss           | 0.098      |
----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00786    |
|    E_fric_J             | 0.00633    |
|    E_norm_J             | 0.00171    |
|    W_neg_J              | 0.0126     |
|    W_pos_J              | 0.0218     |
| reward/                 |            |
|    r_energy             | -0.0229    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 10.8       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 178        |
|    time_elapsed         | 16131      |
|    total_timesteps      | 729088     |
| train/                  |            |
|    approx_kl            | 0.02872134 |
|    clip_fraction        | 0.335      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.95      |
|    explained_variance   | 0.817      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0326    |
|    n_updates            | 1770       |
|    policy_gradient_loss | -0.0126    |
|    std                  | 0.422      |
|    value_loss           | 0.101      |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0164      |
|    E_fric_J             | 0.00717     |
|    E_norm_J             | 0.0188      |
|    W_neg_J              | 0.0215      |
|    W_pos_J              | 0.0505      |
| reward/                 |             |
|    r_energy             | -0.0587     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 11          |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 179         |
|    time_elapsed         | 16223       |
|    total_timesteps      | 733184      |
| train/                  |             |
|    approx_kl            | 0.026416093 |
|    clip_fraction        | 0.335       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.88       |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.018      |
|    n_updates            | 1780        |
|    policy_gradient_loss | -0.0114     |
|    std                  | 0.42        |
|    value_loss           | 0.0983      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00845     |
|    E_fric_J             | 0.0062      |
|    E_norm_J             | 0.00168     |
|    W_neg_J              | 0.0105      |
|    W_pos_J              | 0.0268      |
| reward/                 |             |
|    r_energy             | -0.0233     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 11.3        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 180         |
|    time_elapsed         | 16316       |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.026225535 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.81       |
|    explained_variance   | 0.821       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0273     |
|    n_updates            | 1790        |
|    policy_gradient_loss | -0.0137     |
|    std                  | 0.418       |
|    value_loss           | 0.113       |
-----------------------------------------
---------------------------------------
| energy/                 |           |
|    E_damp_J             | 0.0359    |
|    E_fric_J             | 0.00777   |
|    E_norm_J             | 0.0194    |
|    W_neg_J              | 0.0519    |
|    W_pos_J              | 0.0753    |
| reward/                 |           |
|    r_energy             | -0.095    |
| rollout/                |           |
|    ep_len_mean          | 82        |
|    ep_rew_mean          | 11.5      |
| time/                   |           |
|    fps                  | 45        |
|    iterations           | 181       |
|    time_elapsed         | 16407     |
|    total_timesteps      | 741376    |
| train/                  |           |
